EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
735.22,735.22,9,2323,277.57621216773987,290283,0.9196531474590302,0.5342331,0.07344507,0.0,-0.052657522,32.195328
755.2,755.2,2,2325,279.76061272621155,292283,0.7779435217380524,0.5292914,0.045817442,0.0,-0.04567299,43.754738
765.19,765.19,2,2327,281.6792325973511,294283,0.7220510542392731,0.51471716,0.016589507,0.0,-0.024769403,49.695927
770.63,770.63,2,2329,283.560040473938,296283,0.6701583564281464,0.515321,0.04579254,0.0,-0.024850518,37.295727
772.34,772.34,10,2339,285.53516936302185,298988,0.878186047077179,0.44961333,0.06263212,0.0,-0.06336634,45.269184
792.32,792.32,2,2341,287.34328389167786,300988,0.5238180458545685,0.45576862,0.018482374,0.0,-0.02549677,47.287807
788.67,788.67,8,2349,289.3061978816986,302629,0.915744848549366,0.40583488,0.13582632,0.0,-0.051863115,26.960484
788.67,788.67,2,2351,291.36586332321167,304629,0.8328941166400909,0.37128574,0.019433953,0.0,-0.0365145,39.397266
714.6,714.6,9,2360,293.44477581977844,306222,0.9167899712920189,0.36624402,0.030796533,0.0,-0.020950759,22.785933
714.6,714.6,3,2363,295.3066318035126,309222,0.6489457190036774,0.37232083,0.018769402,0.0,-0.029285938,55.262455
714.6,714.6,2,2365,297.4176425933838,311222,0.7278920710086823,0.36870775,0.035470255,0.0,-0.033708036,42.61848
714.6,714.6,2,2367,299.33404064178467,313222,0.6367557346820831,0.37641525,0.031382125,0.0,-0.018405832,49.168648
714.6,714.6,2,2369,301.3020405769348,315222,0.5854724645614624,0.37973434,0.0135069,0.0,-0.026476694,40.915882
631.6,631.6,10,2379,303.1784243583679,316922,0.9148922339081764,0.34683326,0.02612335,0.0,-0.052524667,25.053251
557.91,557.91,9,2388,305.1081511974335,318553,0.8878635913133621,0.31786215,0.043442592,0.0,-0.07528819,30.969084
557.91,557.91,2,2390,306.94371819496155,320553,0.7883257269859314,0.29881585,0.035234924,0.0,-0.039545216,48.50122
